time,latitude,longitude,depth,magnitude,place
1307893024110,13.42,41.694,1.9,5.1,"56 km S of Edd, Eritrea"
1307729814400,12.467,47.647,10.0,4.7,"156 km NNW of Las Khorey, Somalia"
1307728017690,12.435,47.609,10.0,4.4,"154 km NNW of Las Khorey, Somalia"
1307646146970,12.428,47.5,10.0,4.6,"159 km NNW of Las Khorey, Somalia"
1307059126160,11.672,44.037,10.0,4.0,"87 km ESE of Obock, Djibouti"
1307056875860,12.034,43.889,10.0,4.2,"65 km E of Obock, Djibouti"
1306802180340,12.409,47.29,10.7,4.5,"169 km NW of Las Khorey, Somalia"
1305437084570,11.957,44.348,10.0,4.0,"115 km E of Obock, Djibouti"
1303205874750,11.819,44.023,10.0,4.7,"81 km ESE of Obock, Djibouti"
1303204083160,11.923,43.992,10.0,4.8,"76 km E of Obock, Djibouti"
1301596418040,13.17,41.829,6.5,4.5,"85 km S of Edd, Eritrea"
1301538287920,12.007,43.782,10.0,4.2,"53 km E of Obock, Djibouti"
1301449369170,11.993,44.061,10.0,4.9,"84 km E of Obock, Djibouti"
